countrycode,countryname,adminone,adminlevel,population,date,datatype,fcs people,fcs prevalence,rcsi people,rcsi prevalence,health access people,health access prevalence,market access people,market access prevalence
#country+code,#country+name,#adm1+name,#meta+adminlevel,#population+total,#date,#data+type,#population+fcs,#indicator+fcs+prevalence,#population+rcsi,#indicator+rcsi+prevalence,#population+health_access,#indicator+health_access+prevalence,#population+market_access,#indicator+market_access+prevalence
MDG,Madagascar,Sofia,subnational,1498769,2024-03-01,SURVEY,506945,0.3382409163787081,358367,0.2391075609383434,83370,0.05562563342917255,156658,0.1045245509202263
MDG,Madagascar,Vakinankaratra,subnational,2167330,2024-03-01,SURVEY,637496,0.294138871330162,614058,0.28332464368600996,195232,0.09007952576193637,294622,0.13593776674525798
MDG,Madagascar,Vatovavy Fitovinany,subnational,1702391,2024-03-01,SURVEY,863634,0.507306488344922,551113,0.3237288026076266,160250,0.09413227390183902,397336,0.23339879028965735
MDG,Madagascar,Alaotra Mangoro,subnational,1234447,2024-02-29,SURVEY,266122,0.2155799317427156,253377,0.20525547066824254,41795,0.03385725548484768,111366,0.09021526771923787
MDG,Madagascar,Amoron I Mania,subnational,859365,2024-02-29,SURVEY,370973,0.43168269594409825,295194,0.34350246984692184,44835,0.05217223302438637,73579,0.08562016205967403
MDG,Madagascar,Analamanga,subnational,4024795,2024-02-29,SURVEY,1075920,0.2673229319754174,1227011,0.3048629805990119,447118,0.11109087543589177,430814,0.10703998588747997
MDG,Madagascar,Analanjirofo,subnational,1244087,2024-02-29,SURVEY,261716,0.21036792442972235,243557,0.19577167834725384,63114,0.05073115847558096,73503,0.05908185729680621
MDG,Madagascar,Androy,subnational,882088,2024-02-29,SURVEY,407052,0.4614641623058017,325859,0.36941779051523205,108610,0.12312830465894559,269848,0.3059195907891276
MDG,Madagascar,Anosy,subnational,807418,2024-02-29,SURVEY,382358,0.47355644783742745,401071,0.49673279515690755,66849,0.08279355511630984,118504,0.14676908367165462
MDG,Madagascar,Atsimo Andrefana,subnational,1582561,2024-02-29,SURVEY,486075,0.3071445587247506,658452,0.41606737433817714,69979,0.04421881495146865,173146,0.10940873685121774
